decision_time,job_id,allowed_machine_indices,avail_actions,action_idx,obs_current_op_type,obs_total_operations,obs_remaining_operations,obs_wait_time,obs_theoretical_machine_count,obs_free_machine_count,obs_n_jobs_active,finished_flag,job_status
11.0,2,"[1, 2, 4]","[0, 1, 1, 0, 1]",3,4.0,3.0,1.0,7.074999809265137,3.0,3.0,8.0,0,WIP
11.0,2,"[1, 2, 4]","[0, 1, 1, 0, 1]",3,4.0,3.0,1.0,7.074999809265137,3.0,3.0,8.0,0,WIP
12.0,7,"[1, 3, 4]","[0, 1, 0, 1, 1]",4,8.0,5.0,5.0,0.0,3.0,3.0,8.0,0,WIP
12.0,9,"[0, 2, 4]","[1, 0, 1, 0, 1]",0,9.0,2.0,1.0,0.20886939764022827,3.0,3.0,8.0,0,WIP
7.0,0,"[2, 4]","[0, 0, 1, 0, 1]",0,6.0,3.0,1.0,1.2000000476837158,2.0,2.0,8.0,0,WIP
13.0,3,"[1, 2, 4]","[0, 1, 1, 0, 1]",-1,4.0,4.0,3.0,7.650000095367432,3.0,3.0,8.0,0,WIP
11.0,2,"[1, 2, 4]","[0, 1, 1, 0, 1]",3,4.0,3.0,1.0,7.074999809265137,3.0,3.0,8.0,0,WIP
13.0,9,"[0, 2, 4]","[1, 0, 1, 0, 1]",-1,9.0,2.0,1.0,0.20886939764022827,3.0,3.0,8.0,0,WIP
13.0,5,"[0, 2, 3, 4]","[1, 0, 1, 1, 1]",2,1.0,3.0,2.0,8.304231643676758,4.0,4.0,8.0,0,WIP
13.0,1,"[0, 2]","[1, 0, 1, 0, 0]",1,2.0,4.0,1.0,7.724999904632568,2.0,2.0,8.0,0,WIP
13.0,1,"[0, 2]","[1, 0, 1, 0, 0]",1,2.0,4.0,1.0,7.724999904632568,2.0,2.0,8.0,0,WIP
14.0,6,"[0, 1]","[1, 1, 0, 0, 0]",0,5.0,5.0,4.0,7.941501140594482,2.0,2.0,8.0,0,WIP
7.0,0,"[2, 4]","[0, 0, 1, 0, 1]",0,6.0,3.0,1.0,1.2000000476837158,2.0,2.0,8.0,0,WIP
15.0,3,"[1, 2, 4]","[0, 1, 1, 0, 1]",0,4.0,4.0,3.0,7.650000095367432,3.0,3.0,8.0,0,WIP
15.0,3,"[1, 2, 4]","[0, 1, 1, 0, 1]",0,4.0,4.0,3.0,7.650000095367432,3.0,3.0,8.0,0,WIP
11.0,2,"[1, 2, 4]","[0, 1, 1, 0, 1]",3,4.0,3.0,1.0,7.074999809265137,3.0,3.0,8.0,0,WIP
15.0,9,"[0, 2, 4]","[1, 0, 1, 0, 1]",0,9.0,2.0,1.0,0.20886939764022827,3.0,3.0,8.0,0,WIP
13.0,1,"[0, 2]","[1, 0, 1, 0, 0]",1,2.0,4.0,1.0,7.724999904632568,2.0,2.0,8.0,0,WIP
15.0,5,"[0, 3, 4]","[1, 0, 0, 1, 1]",-1,3.0,3.0,1.0,8.729231834411621,3.0,3.0,8.0,0,WIP
15.0,7,"[0, 2]","[1, 0, 1, 0, 0]",2,2.0,5.0,4.0,6.328004360198975,2.0,2.0,8.0,0,WIP
16.0,10,"[2, 4]","[0, 0, 1, 0, 1]",4,6.0,5.0,5.0,0.0,2.0,2.0,9.0,0,WIP
7.0,0,"[2, 4]","[0, 0, 1, 0, 1]",0,6.0,3.0,1.0,1.2000000476837158,2.0,2.0,8.0,0,WIP
17.0,3,"[1, 2, 4]","[0, 1, 1, 0, 1]",-1,4.0,4.0,3.0,7.650000095367432,3.0,3.0,10.0,0,WIP
11.0,2,"[1, 2, 4]","[0, 1, 1, 0, 1]",3,4.0,3.0,1.0,7.074999809265137,3.0,3.0,8.0,0,WIP
13.0,1,"[0, 2]","[1, 0, 1, 0, 0]",1,2.0,4.0,1.0,7.724999904632568,2.0,2.0,8.0,0,WIP
17.0,5,"[0, 3, 4]","[1, 0, 0, 1, 1]",4,3.0,3.0,1.0,8.729231834411621,3.0,3.0,10.0,0,WIP
17.0,6,"[0, 3, 4]","[1, 0, 0, 1, 1]",0,3.0,5.0,3.0,8.841501235961914,3.0,3.0,10.0,0,WIP
17.0,7,"[0, 2, 3, 4]","[1, 0, 1, 1, 1]",2,1.0,5.0,3.0,6.653004169464111,4.0,4.0,10.0,0,WIP
17.0,11,"[0, 1]","[1, 1, 0, 0, 0]",1,5.0,4.0,4.0,0.0,2.0,2.0,10.0,0,WIP
18.0,6,"[0, 3, 4]","[1, 0, 0, 1, 1]",-1,3.0,5.0,3.0,8.841501235961914,3.0,3.0,10.0,0,WIP
18.0,11,"[0, 1]","[1, 1, 0, 0, 0]",-1,5.0,4.0,4.0,0.0,2.0,2.0,10.0,0,WIP
19.0,0,"[2, 4]","[0, 0, 1, 0, 1]",-1,6.0,3.0,1.0,1.2000000476837158,2.0,2.0,10.0,0,WIP
19.0,3,"[1, 2, 4]","[0, 1, 1, 0, 1]",-1,4.0,4.0,3.0,7.650000095367432,3.0,3.0,10.0,0,WIP
19.0,2,"[1, 2, 4]","[0, 1, 1, 0, 1]",-1,4.0,3.0,1.0,7.074999809265137,3.0,3.0,10.0,0,WIP
19.0,1,"[0, 2]","[1, 0, 1, 0, 0]",-1,2.0,4.0,1.0,7.724999904632568,2.0,2.0,10.0,0,WIP
19.0,7,"[1, 2, 4]","[0, 1, 1, 0, 1]",1,4.0,5.0,2.0,6.903004169464111,3.0,3.0,10.0,0,WIP
19.0,10,"[0, 2, 4]","[1, 0, 1, 0, 1]",2,9.0,5.0,4.0,0.15683966875076294,3.0,3.0,10.0,0,WIP
20.0,6,"[0, 3, 4]","[1, 0, 0, 1, 1]",-1,3.0,5.0,3.0,8.841501235961914,3.0,3.0,10.0,0,WIP
20.0,11,"[0, 1]","[1, 1, 0, 0, 0]",1,5.0,4.0,4.0,0.0,2.0,2.0,10.0,0,WIP
20.0,12,"[1, 3, 4]","[0, 1, 0, 1, 1]",3,8.0,5.0,5.0,0.0,3.0,3.0,10.0,0,WIP
21.0,0,"[2, 4]","[0, 0, 1, 0, 1]",0,6.0,3.0,1.0,1.2000000476837158,2.0,2.0,10.0,0,WIP
21.0,0,"[2, 4]","[0, 0, 1, 0, 1]",0,6.0,3.0,1.0,1.2000000476837158,2.0,2.0,10.0,0,WIP
21.0,3,"[1, 2, 4]","[0, 1, 1, 0, 1]",0,4.0,4.0,3.0,7.650000095367432,3.0,3.0,10.0,0,WIP
21.0,3,"[1, 2, 4]","[0, 1, 1, 0, 1]",0,4.0,4.0,3.0,7.650000095367432,3.0,3.0,10.0,0,WIP
21.0,2,"[1, 2, 4]","[0, 1, 1, 0, 1]",0,4.0,3.0,1.0,7.074999809265137,3.0,3.0,10.0,0,WIP
21.0,2,"[1, 2, 4]","[0, 1, 1, 0, 1]",0,4.0,3.0,1.0,7.074999809265137,3.0,3.0,10.0,0,WIP
21.0,1,"[0, 2]","[1, 0, 1, 0, 0]",-1,2.0,4.0,1.0,7.724999904632568,2.0,2.0,10.0,0,WIP
21.0,12,"[1, 3, 4]","[0, 1, 0, 1, 1]",-1,8.0,5.0,5.0,0.0,3.0,3.0,10.0,0,WIP
21.0,7,"[2, 4]","[0, 0, 1, 0, 1]",-1,6.0,5.0,1.0,7.328004360198975,2.0,2.0,10.0,0,WIP
21.0,13,"[0, 3, 4]","[1, 0, 0, 1, 1]",0,3.0,1.0,1.0,0.0,3.0,3.0,10.0,0,WIP
22.0,6,"[0, 3, 4]","[1, 0, 0, 1, 1]",0,3.0,5.0,3.0,8.841501235961914,3.0,3.0,10.0,0,WIP
21.0,0,"[2, 4]","[0, 0, 1, 0, 1]",0,6.0,3.0,1.0,1.2000000476837158,2.0,2.0,10.0,0,WIP
23.0,3,"[1, 2, 4]","[0, 1, 1, 0, 1]",-1,4.0,4.0,3.0,7.650000095367432,3.0,3.0,10.0,0,WIP
21.0,2,"[1, 2, 4]","[0, 1, 1, 0, 1]",0,4.0,3.0,1.0,7.074999809265137,3.0,3.0,10.0,0,WIP
23.0,1,"[0, 2]","[1, 0, 1, 0, 0]",4,2.0,4.0,1.0,7.724999904632568,2.0,2.0,10.0,0,WIP
23.0,1,"[0, 2]","[1, 0, 1, 0, 0]",4,2.0,4.0,1.0,7.724999904632568,2.0,2.0,10.0,0,WIP
23.0,12,"[1, 3, 4]","[0, 1, 0, 1, 1]",4,8.0,5.0,5.0,0.0,3.0,3.0,10.0,0,WIP
23.0,7,"[2, 4]","[0, 0, 1, 0, 1]",4,6.0,5.0,1.0,7.328004360198975,2.0,2.0,10.0,0,WIP
23.0,10,"[2, 4]","[0, 0, 1, 0, 1]",4,6.0,5.0,3.0,0.356839656829834,2.0,2.0,10.0,0,WIP
23.0,11,[3],"[0, 0, 0, 1, 0]",3,7.0,4.0,3.0,3.6799023151397705,1.0,1.0,10.0,0,WIP
23.0,6,"[0, 3, 4]","[1, 0, 0, 1, 1]",3,3.0,5.0,3.0,8.841501235961914,3.0,3.0,10.0,0,WIP
23.0,14,"[2, 4]","[0, 0, 1, 0, 1]",4,6.0,1.0,1.0,0.0,2.0,2.0,10.0,0,WIP
24.0,11,[3],"[0, 0, 0, 1, 0]",-1,7.0,4.0,3.0,3.6799023151397705,1.0,1.0,10.0,0,WIP
24.0,6,"[0, 3, 4]","[1, 0, 0, 1, 1]",-1,3.0,5.0,3.0,8.841501235961914,3.0,3.0,10.0,0,WIP
25.0,0,"[2, 4]","[0, 0, 1, 0, 1]",-1,6.0,3.0,1.0,1.2000000476837158,2.0,2.0,10.0,0,WIP
25.0,3,"[1, 2, 4]","[0, 1, 1, 0, 1]",-1,4.0,4.0,3.0,7.650000095367432,3.0,3.0,10.0,0,WIP
25.0,2,"[1, 2, 4]","[0, 1, 1, 0, 1]",-1,4.0,3.0,1.0,7.074999809265137,3.0,3.0,10.0,0,WIP
25.0,1,"[0, 2]","[1, 0, 1, 0, 0]",-1,2.0,4.0,1.0,7.724999904632568,2.0,2.0,10.0,0,WIP
25.0,12,[3],"[0, 0, 0, 1, 0]",3,7.0,5.0,4.0,4.835168361663818,1.0,1.0,10.0,0,WIP
26.0,11,[3],"[0, 0, 0, 1, 0]",3,7.0,4.0,3.0,3.6799023151397705,1.0,1.0,10.0,0,WIP
26.0,6,"[0, 3, 4]","[1, 0, 0, 1, 1]",0,3.0,5.0,3.0,8.841501235961914,3.0,3.0,10.0,0,WIP
27.0,0,"[2, 4]","[0, 0, 1, 0, 1]",-1,6.0,3.0,1.0,1.2000000476837158,2.0,2.0,10.0,0,WIP
27.0,3,"[1, 2, 4]","[0, 1, 1, 0, 1]",-1,4.0,4.0,3.0,7.650000095367432,3.0,3.0,10.0,0,WIP
27.0,2,"[1, 2, 4]","[0, 1, 1, 0, 1]",-1,4.0,3.0,1.0,7.074999809265137,3.0,3.0,10.0,0,WIP
27.0,1,"[0, 2]","[1, 0, 1, 0, 0]",-1,2.0,4.0,1.0,7.724999904632568,2.0,2.0,10.0,0,WIP
27.0,11,[3],"[0, 0, 0, 1, 0]",-1,7.0,4.0,3.0,3.6799023151397705,1.0,1.0,10.0,0,WIP
27.0,6,"[0, 3, 4]","[1, 0, 0, 1, 1]",-1,3.0,5.0,3.0,8.841501235961914,3.0,3.0,10.0,0,WIP
27.0,12,"[2, 4]","[0, 0, 1, 0, 1]",-1,6.0,5.0,3.0,5.260168552398682,2.0,2.0,10.0,0,WIP
28.0,15,"[1, 2, 4]","[0, 1, 1, 0, 1]",4,4.0,2.0,2.0,0.0,3.0,3.0,10.0,0,WIP
29.0,0,"[2, 4]","[0, 0, 1, 0, 1]",0,6.0,3.0,1.0,1.2000000476837158,2.0,2.0,10.0,0,WIP
29.0,0,"[2, 4]","[0, 0, 1, 0, 1]",0,6.0,3.0,1.0,1.2000000476837158,2.0,2.0,10.0,0,WIP
29.0,3,"[1, 2, 4]","[0, 1, 1, 0, 1]",0,4.0,4.0,3.0,7.650000095367432,3.0,3.0,10.0,0,WIP
29.0,3,"[1, 2, 4]","[0, 1, 1, 0, 1]",0,4.0,4.0,3.0,7.650000095367432,3.0,3.0,10.0,0,WIP
